article,key,found,expected,tp,fp,fn,precision,recall,f1
synthetic_article_1.txt,fact_edges,11,11,11,0,0,1.000,1.000,1.000
synthetic_article_1.txt,derived_edges,4,4,4,0,0,1.000,1.000,1.000
synthetic_article_1.txt,contradicted_edges,0,0,0,0,0,1.000,1.000,1.000
synthetic_article_1.txt,hypothesis_only,0,0,0,0,0,1.000,1.000,1.000
synthetic_article_2.txt,fact_edges,11,11,11,0,0,1.000,1.000,1.000
synthetic_article_2.txt,derived_edges,4,4,4,0,0,1.000,1.000,1.000
synthetic_article_2.txt,contradicted_edges,0,0,0,0,0,1.000,1.000,1.000
synthetic_article_2.txt,hypothesis_only,0,0,0,0,0,1.000,1.000,1.000
synthetic_article_3.txt,fact_edges,16,16,16,0,0,1.000,1.000,1.000
synthetic_article_3.txt,derived_edges,8,8,8,0,0,1.000,1.000,1.000
synthetic_article_3.txt,contradicted_edges,2,2,2,0,0,1.000,1.000,1.000
synthetic_article_3.txt,hypothesis_only,4,4,4,0,0,1.000,1.000,1.000
synthetic_article_4.txt,fact_edges,26,26,26,0,0,1.000,1.000,1.000
synthetic_article_4.txt,derived_edges,17,17,17,0,0,1.000,1.000,1.000
synthetic_article_4.txt,contradicted_edges,4,4,4,0,0,1.000,1.000,1.000
synthetic_article_4.txt,hypothesis_only,5,5,5,0,0,1.000,1.000,1.000
MICRO_TOTALS,ALL,NA,NA,112,0,0,1.000,1.000,1.000
